,Book title,Author,ISBN,Bestseller_Date,Created_Date,Publisher,Weeks_on_List
55,PROJECT 562,Matika Wilbur,9781984859525,4/29/2023,5/3/2023 22:05,Ten Speed,1
56,A FEVER IN THE HEARTLAND,Timothy Egan,9780735225268,4/29/2023,5/3/2023 22:05,Viking,3
57,FAT TALK,Virginia Sole-Smith,9781250831217,4/29/2023,5/3/2023 22:05,Holt,1
58,YOU COULD MAKE THIS PLACE BEAUTIFUL,Maggie Smith,9781982185855,4/29/2023,5/3/2023 22:05,Atria/One Signal,3
59,WHAT HAPPENED TO YOU?,Bruce D. Perry and Oprah Winfrey,9781250223180,4/29/2023,5/3/2023 22:05,Flatiron,51
60,THE LAST THING HE TOLD ME,Laura Dave,9781501171352,4/29/2023,5/3/2023 22:05,Marysue Rucci,6
61,IT ENDS WITH US,Colleen Hoover,9781501110368,4/29/2023,5/3/2023 22:05,Atria,104
62,IT STARTS WITH US,Colleen Hoover,9781668001226,4/29/2023,5/3/2023 22:05,Atria,28
63,THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,9781501161933,4/29/2023,5/3/2023 22:05,Washington Square/Atria,112
64,VERITY,Colleen Hoover,9781538724736,4/29/2023,5/3/2023 22:05,Grand Central,90
65,NEVER NEVER,Colleen Hoover and Tarryn Fisher,9781335004888,4/29/2023,5/3/2023 22:05,Canary Street,9
66,UGLY LOVE,Colleen Hoover,9781476753188,4/29/2023,5/3/2023 22:05,Atria,92
67,DAISY JONES & THE SIX,Taylor Jenkins Reid,9781524798642,4/29/2023,5/3/2023 22:05,Ballantine,24
68,KING OF WRATH,Ana Huang,9781728289724,4/29/2023,5/3/2023 22:05,Bloom,1
69,HEART BONES,Colleen Hoover,9781668021910,4/29/2023,5/3/2023 22:05,Atria,13
70,THE INVISIBLE LIFE OF ADDIE LARUE,V.E. Schwab,9780765387578,4/29/2023,5/3/2023 22:05,Tor,3
71,THINGS WE NEVER GOT OVER,Lucy Score,9781945631832,4/29/2023,5/3/2023 22:05,Bloom,30
72,ICEBREAKER,Hannah Grace,9781668026038,4/29/2023,5/3/2023 22:05,Atria,11
73,THE HOUSEMAID,Freida McFadden,9781538742570,4/29/2023,5/3/2023 22:05,Grand Central,1
74,THE SILENT PATIENT,Alex Michaelides,9781250301703,4/29/2023,5/3/2023 22:05,Celadon,89
75,THE BODY KEEPS THE SCORE,Bessel van der Kolk,9780143127741,4/29/2023,5/3/2023 22:05,Penguin,236
76,CRYING IN H MART,Michelle Zauner,9781984898951,4/29/2023,5/3/2023 22:05,Vintage,5
77,KILLERS OF THE FLOWER MOON,David Grann,9780307742483,4/29/2023,5/3/2023 22:05,Vintage,113
78,THE ESCAPE ARTIST,Jonathan Freedland,9780063112360,4/29/2023,5/3/2023 22:05,Harper,1
79,BRAIDING SWEETGRASS,Robin Wall Kimmerer,9781571313560,4/29/2023,5/3/2023 22:05,Milkweed Editions,159
80,ALL ABOUT LOVE,bell hooks,9780060959470,4/29/2023,5/3/2023 22:05,Morrow,73
81,FINDING ME,Viola Davis,9780063037366,4/29/2023,5/3/2023 22:05,HarperOne,4
82,EDUCATED,Tara Westover,9780399590528,4/29/2023,5/3/2023 22:05,Random House,47
83,"THINKING, FAST AND SLOW",Daniel Kahneman,9780374533557,4/29/2023,5/3/2023 22:05,"Farrar, Straus & Giroux",360
84,THE DAWN OF EVERYTHING,David Graeber and David Wengrow,9781250858801,4/29/2023,5/3/2023 22:05,Picador,4
85,THE GLASS CASTLE,Jeannette Walls,9780743247542,4/29/2023,5/3/2023 22:05,Scribner,466
86,TALKING TO STRANGERS,Malcolm Gladwell,9780316299220,4/29/2023,5/3/2023 22:05,Back Bay,83
87,BEING MORTAL,Atul Gawande,9781250076229,4/29/2023,5/3/2023 22:05,Metropolitan,129
88,THE ANTHROPOCENE REVIEWED,John Green,9780525555247,4/29/2023,5/3/2023 22:05,Dutton,6
89,GRIT,Angela Duckworth,9781501111112,4/29/2023,5/3/2023 22:05,Scribner,145
90,ATOMIC HABITS,James Clear,9780735211292,4/29/2023,5/3/2023 22:05,Avery,179
91,THE CREATIVE ACT,Rick Rubin with Neil Strauss,9780593652886,4/29/2023,5/3/2023 22:05,Penguin Press,15
92,Y'ALL EAT YET?,Miranda Lambert with Holly Gleason,9780063087781,4/29/2023,5/3/2023 22:05,Dey Street,1
93,COMEDY BANG! BANG! THE PODCAST,edited  Scott Aukerman,9781419754814,4/29/2023,5/3/2023 22:05,Abrams Image,1
94,SOUL BOOM,Rainn Wilson,9780306828270,4/29/2023,5/3/2023 22:05,Hachette Go,1
95,THE WISDOM OF THE BULLFROG,William H. McRaven,9781538707944,4/29/2023,5/3/2023 22:05,Grand Central,4
96,"THE BOY, THE MOLE, THE FOX AND THE HORSE",Charlie Mackesy,9780062976581,4/29/2023,5/3/2023 22:05,HarperOne,178
97,LOVE AND LEMONS SIMPLE FEEL GOOD FOOD,Jeanine Donofrio with Phoebe Moore,9780593419106,4/29/2023,5/3/2023 22:05,Avery,1
98,TASTING HISTORY,Max Miller with Ann Volkwein,9781982186180,4/29/2023,5/3/2023 22:05,Simon Element,2
99,THE SUBTLE ART OF NOT GIVING A F*CK,Mark Manson,9780062457714,4/29/2023,5/3/2023 22:05,Harper,294
100,WONDER,R.J. Palacio,9780375869020,4/29/2023,5/3/2023 22:05,Knopf,394
101,REFUGEE,Alan Gratz,9780545880831,4/29/2023,5/3/2023 22:05,Scholastic,218
102,NIC BLAKE AND THE REMARKABLES,Angie Thomas,9780063225138,4/29/2023,5/3/2023 22:05,Balzer + Bray,4
103,ODDER,Katherine Applegate.,9781250147424,4/29/2023,5/3/2023 22:05,Feiwel & Friends,32
104,BIG TREE,Brian Selznick,9781338180633,4/29/2023,5/3/2023 22:05,Scholastic,4
105,THE COMPLETE COOKBOOK FOR YOUNG CHEFS,America's Test Kitchen Kids,9781492670025,4/29/2023,5/3/2023 22:05,Sourcebooks Jabberwocky,151
106,TWO DEGREES,Alan Gratz,9781338735673,4/29/2023,5/3/2023 22:05,Scholastic,30
107,ONCE THERE WAS,Kiyash Monsef,9781665928502,4/29/2023,5/3/2023 22:05,Simon & Schuster,4
108,FREEWATER,Amina Luqman-Dawson,9780316056618,4/29/2023,5/3/2023 22:05,"Little, Brown",4
109,THE SWIFTS,Beth Lincoln.,9780593533239,4/29/2023,5/3/2023 22:05,Dutton,8
110,BECAUSE I HAD A TEACHER,Kobi Yamada.,9781943200085,4/29/2023,5/3/2023 22:05,Compendium,11
111,DRAGONS LOVE TACOS,Adam Rubin.,9780803736801,4/29/2023,5/3/2023 22:05,Dial,396
112,THE WONDERFUL THINGS YOU WILL BE,Emily Winfield Martin,9780385376716,4/29/2023,5/3/2023 22:05,Random House,350
113,THE DAY THE CRAYONS QUIT,Drew Daywalt.,9780399255373,4/29/2023,5/3/2023 22:05,Philomel,358
114,WOO HOO! YOU'RE DOING GREAT!,Sandra Boynton,9780316486798,4/29/2023,5/3/2023 22:05,"Little, Brown",4
115,DOLLY PARTON'S BILLY THE KID MAKES IT BIG,Dolly Parton with Erica S. Perl.,9780593661574,4/29/2023,5/3/2023 22:05,Penguin Workshop,1
116,I WISH YOU MORE,Amy Krouse Rosenthal.,9781452126999,4/29/2023,5/3/2023 22:05,Chronicle,80
117,"THANK YOU, TEACHER FROM THE VERY HUNGRY CATERPILLAR",Eric Carle,9780593226186,4/29/2023,5/3/2023 22:05,World of Eric Carle,8
118,THE BOOK WITH NO PICTURES,B.J. Novak,9780803741713,4/29/2023,5/3/2023 22:05,Dial,183
119,I LOVE MOM WITH THE VERY HUNGRY CATERPILLAR,Eric Carle,9780451533463,4/29/2023,5/3/2023 22:05,Grosset & Dunlap,15
