movie_title,year,length,genre,stars, gross ,rating_NA,rating_Not Rated,rating_PG,rating_PG_13,rating_Passed,rating_R,rating_TV_PG,Action,Adventure,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci_Fi,Sport,Thriller,War,Western
Harry Potter and the Chamber of Secrets,2002,161,"['Adventure', 'Family', 'Fantasy']",7.4,"$261,988,482.00 ",0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Harry Potter and the Goblet of Fire,2005,157,"['Adventure', 'Family', 'Fantasy']",7.7,"$290,013,036.00 ",0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Harry Potter and the Prisoner of Azkaban,2004,142,"['Adventure', 'Family', 'Fantasy']",7.9,"$249,358,727.00 ",0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Harry Potter and the Deathly Hallows: Part 2,2011,130,"['Adventure', 'Family', 'Fantasy']",8.1,"$381,011,219.00 ",0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Harry Potter and the Order of the Phoenix,2007,138,"['Action', 'Adventure', 'Family']",7.5,"$292,004,738.00 ",0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Harry Potter and the Deathly Hallows: Part 1,2010,146,"['Adventure', 'Family', 'Fantasy']",7.7,"$295,983,305.00 ",0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Harry Potter and the Half-Blood Prince,2009,153,"['Action', 'Adventure', 'Family']",7.6,"$301,959,197.00 ",0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Help,2011,146,['Drama'],8.1,"$169,708,112.00 ",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Extremely Loud & Incredibly Close,2011,129,"['Adventure', 'Drama', 'Mystery']",6.9,"$31,847,881.00 ",0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
One Day,2011,107,"['Drama', 'Romance']",7,"$13,843,771.00 ",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Forrest Gump,1994,142,"['Drama', 'Romance']",8.8,"$330,252,182.00 ",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Lord of the Flies,1990,90,"['Adventure', 'Drama', 'Thriller']",6.4,"$13,985,225.00 ",0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
My Sister's Keeper,2009,109,"['Drama', 'Family']",7.3,"$49,200,230.00 ",0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Twilight,2008,122,"['Drama', 'Fantasy', 'Romance']",5.3,"$192,769,854.00 ",0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
The Twilight Saga: New Moon,2009,130,"['Adventure', 'Drama', 'Fantasy']",4.7,"$296,623,634.00 ",0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
The Twilight Saga: Eclipse,2010,124,"['Action', 'Adventure', 'Drama']",5,"$300,531,751.00 ",0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Percy Jackson & the Olympians: The Lightning Thief,2010,118,"['Adventure', 'Family', 'Fantasy']",5.8,"$88,761,720.00 ",0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Percy Jackson: Sea of Monsters,2013,106,"['Adventure', 'Family', 'Fantasy']",5.7,"$68,559,554.00 ",0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Pride & Prejudice,2005,129,"['Drama', 'Romance']",7.8,"$38,405,088.00 ",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Sense and Sensibility,1995,136,"['Drama', 'Romance']",7.7,"$43,182,776.00 ",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Mansfield Park,,88,"['Drama', 'Romance']",6.2, N/A ,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Mansfield Park,1999,112,"['Comedy', 'Drama', 'Romance']",7,"$4,764,741.00 ",0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Northanger Abbey,,84,"['Drama', 'Romance']",7.2, N/A ,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
 Screen Two,,107,['Drama'],7.6,"$5,462,325.00 ",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Emma,,105,"['Drama', 'Romance']",0, N/A ,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Persuasion,,93,"['Action', 'Drama', 'Family']",7.4, N/A ,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Stardust,2007,127,"['Adventure', 'Family', 'Fantasy']",7.6,"$38,634,938.00 ",0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,143,"['Adventure', 'Family', 'Fantasy']",6.9,"$291,709,845.00 ",0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
The Chronicles of Narnia: Prince Caspian,2008,150,"['Action', 'Adventure', 'Family']",6.5,"$141,621,490.00 ",0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,113,"['Adventure', 'Family', 'Fantasy']",6.3,"$104,386,950.00 ",0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
The Hobbit: An Unexpected Journey,2012,169,"['Adventure', 'Fantasy']",7.8,"$303,003,568.00 ",0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Lord of the Rings: The Fellowship of the Ring,2001,178,"['Action', 'Adventure', 'Drama']",8.8,"$315,544,750.00 ",0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Lord of the Rings: The Return of the King,2003,201,"['Action', 'Adventure', 'Drama']",9,"$377,845,905.00 ",0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Lord of the Rings: The Two Towers,2002,179,"['Action', 'Adventure', 'Drama']",8.8,"$342,551,365.00 ",0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
