book_title,author,isbn,publisher,weeks_on_list,movie_title,year,length,movie_genre,movie_rating,star_rating, gross_amount ,Book Title (GoodReads),Author,average_rating,isbn,isbn13,language_code,publication_date,publisher
YOU CAN'T JOKE ABOUT THAT,Kat Timpf,9780063270428,Broadside,2,The Girl with the Dragon Tattoo,2009,152 min,"Crime, Drama, Mystery",R,7.8,"$10,095,170.00 ",1919 (U.S.A.  #2),John Dos Passos/E.L. Doctorow,4,618056823,9780810000000,eng,5/17/2004,George Braziller Inc.
DON'T TELL ANYBODY THE SECRETS I TOLD YOU,Lucinda Williams,9780593136492,Crown,1,The Girl Who Played with Fire,2009,129 min,"Action, Crime, Drama",R,7.1,"$9,081,782.00 ",1968: The Year That Rocked the World,Mark Kurlansky,3.78,345455827,9780620000000,en-US,5/25/2000,Mariner Books
I'M GLAD MY MOM DIED,Jennette McCurdy,9781982185824,Simon & Schuster,38,The Golden Compass,2007,113 min,"Adventure, Family, Fantasy",PG-13,6.1,"$70,107,728.00 ",1968: War and Democracy,Eugene J. McCarthy/Christopher Hitchens,4.5,1883477379,9780350000000,eng,1/11/2005,Random House Trade Paperbacks
SPARE,Prince Harry,9780593593806,Random House,16,Evil,2003,113 min,Drama,Not Rated,7.7,"$15,280.00 ",1st To Die (The Women's Murder Club  #1),James Patterson,4.08,613608704,9781880000000,eng,9/23/2000,Lone Oak Press
KILLERS OF THE FLOWER MOON,David Grann,9780307742483,Doubleday,74,The Girl Who Kicked the Hornet's Nest,2009,147 min,"Crime, Drama, Thriller",R,7.3,"$5,427,684.00 ",1st to Die (Women's Murder Club  #1),James Patterson,4.08,446696617,9780610000000,eng,2/1/2002,Turtleback Books
"POVERTY, BY AMERICA",Matthew Desmond,9780593239919,Crown,6,The Green Mile,1999,189 min,"Crime, Drama, Fantasy",R,8.6,"$136,801,374.00 ",20 000 Leagues Under the Sea,Ron     Miller/Jules Verne/Paul   Wright,3.76,751370738,9780450000000,eng,5/20/2005,Grand Central Publishing
"HONEY, BABY, MINE",Laura Dern and Diane Ladd,9781538720370,Grand Central,1,Harry Potter and the Sorcerer's Stone,2001,152 min,"Adventure, Family, Fantasy",PG,7.6,"$317,575,550.00 ",20 000 Leagues Under The Sea,Pauline Francis/Jules Verne,3.76,237526883,9780750000000,eng,10/8/1998,Prentice Hall
A FEVER IN THE HEARTLAND,Timothy Egan,9780735225268,Viking,3,Harry Potter and the Chamber of Secrets,2002,161 min,"Adventure, Family, Fantasy",PG,7.4,"$261,988,482.00 ",200 Quilt Blocks: To Mix and Match,Davina Thomas,4.09,896892026,9780240000000,eng,8/1/2004,Evans Brothers
PROJECT 562,Matika Wilbur,9781984859525,Ten Speed,1,Harry Potter and the Goblet of Fire,2005,157 min,"Adventure, Family, Fantasy",PG-13,7.7,"$290,013,036.00 ",2006 International Building Code,International Code Council (ICC),3.27,1580012515,9780900000000,eng,10/1/2005,Krause Publications
HANG THE MOON,Jeannette Walls,9781501117299,Scribner,5,Harry Potter and the Prisoner of Azkaban,2004,142 min,"Adventure, Family, Fantasy",PG,7.9,"$249,358,727.00 ",2012: The Return of Quetzalcoatl,Daniel Pinchbeck,3.42,1585424838,9781580000000,eng,3/6/2006,International Code Council
