,movie_title,year,length,movie_genre,movie_rating,star_rating,gross_amount
65,The Pelican Brief,1993,141 min,"Crime, Drama, Mystery",PG-13,6.6,"100,768,056"
66,The Shawshank Redemption,1994,142 min,Drama,R,9.3,"28,341,469"
67,Stand by Me,1986,89 min,"Adventure, Drama",R,8.1,"52,287,414"
68,The Mist,2007,126 min,"Horror, Sci-Fi, Thriller",R,7.1,"25,594,957"
69,Misery,1990,107 min,"Drama, Thriller",R,7.8,"61,276,872"
70,The Time Traveler's Wife,2009,107 min,"Comedy, Drama, Fantasy",PG-13,7.1,"63,414,846"
71,Wuthering Heights,1992,105 min,"Drama, History, Romance",PG,6.6,N/A
72,We Need to Talk About Kevin,2011,112 min,"Drama, Mystery, Thriller",R,7.5,"1,738,692"
73,Appaloosa,2008,115 min,"Action, Crime, Drama",R,6.7,"20,207,003"
74,Atonement,2007,123 min,"Drama, Mystery, Romance",R,7.8,"50,927,067"
75,Awakenings,1990,121 min,"Biography, Drama",PG-13,7.8,"52,096,475"
76,Ballet Shoes,2007,85 min,"Drama, Family, Musical",PG,6.6,N/A
77,Water for Elephants,2011,120 min,"Drama, Romance",PG-13,6.9,"58,709,717"
78,The Lincoln Lawyer,2011,118 min,"Crime, Drama, Mystery",R,7.3,"58,009,200"
79,Jane Eyre,2011,120 min,"Drama, Romance",PG-13,7.3,"11,242,660"
80,Secretariat,2010,123 min,"Biography, Drama, Family",PG,7.2,"59,713,955"
81,The Social Network,2010,120 min,"Biography, Drama",PG-13,7.8,"96,962,694"
82,The Town,2010,125 min,"Crime, Drama, Thriller",R,7.5,"92,186,262"
83,Tamara Drewe,2010,107 min,"Comedy, Drama, Romance",R,6.2,"560,101"
84,Green Zone,2010,115 min,"Action, Drama, Thriller",R,6.8,"35,053,660"
85,Shutter Island,2010,138 min,"Mystery, Thriller",R,8.2,"128,012,934"
86,The Ghost Writer,2010,128 min,"Crime, Drama, Mystery",PG-13,7.2,"15,541,549"
87,The Runaways,2010,106 min,"Biography, Drama, Music",R,6.5,"3,571,735"
88,Winter's Bone,2010,100 min,"Drama, Mystery",R,7.1,"6,531,503"
89,The Blind Side,2009,129 min,"Biography, Drama, Sport",PG-13,7.6,"255,959,475"
90,A Single Man,2009,99 min,"Crime, Drama, Romance",R,7.5,"9,166,863"
91,Crazy Heart,2009,112 min,"Drama, Music, Romance",R,7.2,"39,462,438"
92,Up in the Air,2009,109 min,"Comedy, Drama, Romance",R,7.4,"83,823,381"
93,The Last Station,2009,112 min,"Biography, Drama, Romance",R,6.9,"6,616,974"
94,The Soloist,2009,117 min,"Biography, Drama, Music",PG-13,6.7,"31,670,931"
95,Like Dandelion Dust,2009,100 min,Drama,PG-13,7,"352,810"
96,Public Enemies,2009,140 min,"Action, Biography, Crime",R,7,"97,104,620"
97,Confessions of a Shopaholic,2009,104 min,"Comedy, Romance",PG,5.8,"44,277,350"
98,Inkheart,2008,106 min,"Adventure, Family, Fantasy",PG,6.1,"17,303,424"
99,Revolutionary Road,2008,119 min,"Drama, Romance",R,7.3,"22,911,480"
100,127 Hours,2010,94 min,"Biography, Drama",R,7.5,"18,335,230"
101,100 Rifles,1969,110 min,"Adventure, Drama, War",R,6,N/A
102,The Hunger Games,2012,142 min,"Action, Adventure, Sci-Fi",PG-13,7.2,"408,010,692"
103,The Hunger Games: Catching Fire,2013,146 min,"Action, Adventure, Sci-Fi",PG-13,7.5,"424,668,047"
104,A Beautiful Mind,2001,135 min,"Biography, Drama",PG-13,8.2,"170,742,341"
105,A Civil Action,1998,115 min,Drama,PG-13,6.6,"56,702,901"
106,A Clockwork Orange,1971,136 min,"Crime, Sci-Fi",R,8.3,"6,207,725"
107,A Good Year,2006,117 min,"Comedy, Drama, Romance",PG-13,6.9,"7,458,269"
108,A Little Romance,1979,110 min,"Adventure, Comedy, Romance",PG,7.4,N/A
109,A Room with a View,1985,117 min,"Drama, Romance",Not Rated,7.2,"20,966,644"
110,A Walk to Remember,2002,101 min,"Drama, Romance",PG,7.3,"41,281,092"
111,About a Boy,2002,101 min,"Comedy, Drama, Romance",PG-13,7.1,"41,385,278"
112,All That Heaven Allows,1955,89 min,"Drama, Music, Romance",Passed,7.6,N/A
113,All the Pretty Horses,2000,116 min,"Drama, Romance, Western",PG-13,5.8,"15,527,125"
114,Message in a Bottle,1999,126 min,"Drama, Romance",PG-13,6.2,"52,880,016"
115,The Lucky One,2012,101 min,"Drama, Mystery, Romance",PG-13,6.4,"60,457,138"
116,Dear John,2010,108 min,"Drama, Mystery, Romance",PG-13,6.3,"80,014,842"
117,The Last Song,2010,107 min,"Drama, Music, Romance",PG,6,"62,950,384"
118,The Notebook,2004,123 min,"Drama, Romance",PG-13,7.8,"81,001,787"
119,Nights in Rodanthe,2008,97 min,"Drama, Romance",PG-13,6,"41,850,659"
120,Angels & Demons,2009,138 min,"Action, Mystery, Thriller",PG-13,6.7,"133,375,846"
121,The Da Vinci Code,2006,149 min,"Mystery, Thriller",PG-13,6.6,"217,536,138"
122,The Girl with the Dragon Tattoo,2011,158 min,"Crime, Drama, Mystery",R,7.8,"102,515,793"
123,The Girl with the Dragon Tattoo,2009,152 min,"Crime, Drama, Mystery",R,7.8,"10,095,170"
