,title,year,length,genre,stars,gross,rating_N/A,rating_Not Rated,rating_PG,rating_PG-13,rating_Passed,rating_R,rating_TV-PG,Action,Adventure,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
72,We Need to Talk About Kevin,2011,112,"['Drama', 'Mystery', 'Thriller']",7.5,"1,738,692",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
73,Appaloosa,2008,115,"['Action', 'Crime', 'Drama']",6.7,"20,207,003",0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Atonement,2007,123,"['Drama', 'Mystery', 'Romance']",7.8,"50,927,067",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
75,Awakenings,1990,121,"['Biography', 'Drama']",7.8,"52,096,475",0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Ballet Shoes,,85,"['Drama', 'Family', 'Musical']",6.6,N/A,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
77,Water for Elephants,2011,120,"['Drama', 'Romance']",6.9,"58,709,717",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
78,The Lincoln Lawyer,2011,118,"['Crime', 'Drama', 'Mystery']",7.3,"58,009,200",0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
79,Jane Eyre,2011,120,"['Drama', 'Romance']",7.3,"11,242,660",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
80,Secretariat,2010,123,"['Biography', 'Drama', 'Family']",7.2,"59,713,955",0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
81,The Social Network,2010,120,"['Biography', 'Drama']",7.8,"96,962,694",0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
82,The Town,2010,125,"['Crime', 'Drama', 'Thriller']",7.5,"92,186,262",0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
83,Tamara Drewe,2010,107,"['Comedy', 'Drama', 'Romance']",6.2,"560,101",0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
84,Green Zone,2010,115,"['Action', 'Drama', 'Thriller']",6.8,"35,053,660",0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
85,Shutter Island,2010,138,"['Mystery', 'Thriller']",8.2,"128,012,934",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
86,The Ghost Writer,2010,128,"['Crime', 'Drama', 'Mystery']",7.2,"15,541,549",0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
87,The Runaways,2010,106,"['Biography', 'Drama', 'Music']",6.5,"3,571,735",0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
88,Winter's Bone,2010,100,"['Drama', 'Mystery']",7.1,"6,531,503",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
89,The Blind Side,2009,129,"['Biography', 'Drama', 'Sport']",7.6,"255,959,475",0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
90,A Single Man,2009,99,"['Crime', 'Drama', 'Romance']",7.5,"9,166,863",0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
91,Crazy Heart,2009,112,"['Drama', 'Music', 'Romance']",7.2,"39,462,438",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
92,Up in the Air,2009,109,"['Comedy', 'Drama', 'Romance']",7.4,"83,823,381",0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
93,The Last Station,2009,112,"['Biography', 'Drama', 'Romance']",6.9,"6,616,974",0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
94,The Soloist,2009,117,"['Biography', 'Drama', 'Music']",6.7,"31,670,931",0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
95,Like Dandelion Dust,2009,100,['Drama'],7,"352,810",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Public Enemies,2009,140,"['Action', 'Biography', 'Crime']",7,"97,104,620",0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Confessions of a Shopaholic,2009,104,"['Comedy', 'Romance']",5.8,"44,277,350",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
98,Inkheart,2008,106,"['Adventure', 'Family', 'Fantasy']",6.1,"17,303,424",0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
99,Revolutionary Road,2008,119,"['Drama', 'Romance']",7.3,"22,911,480",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
