title,author,weeks_on_list,publication_date,average_rating,publisher
Daughter of Fortune,Isabel Allende/Margaret Sayers Peden,,10/6/1999,3.91,Harper
The Meanest Thing To Say,Bill Cosby/Varnette P. Honeywood/Varnette Hon Eywood,,9/1/1997,3.54,Cartwheel
The Good Earth (House of Earth  #1),Pearl S. Buck,,9/15/2004,3.98,Washington Square Press
A Fine Balance,Rohinton Mistry,,11/30/2001,4.36,Vintage
The Best Way to Play: A Little Bill Book,Bill Cosby/Varnette P. Honeywood/Varnette Honeywood,,9/1/1997,3.49,Cartwheel
White Oleander,Janet Fitch,,5/1/2000,3.96,Back Bay Books
Cry  the Beloved Country,Alan Paton,,11/1/2003,3.9,Scribner
One Hundred Years of Solitude,Gabriel García Márquez/Gregory Rabassa,,1/20/2004,4.07,Harper Perennial
Song of Solomon,Toni Morrison,,9/1/1987,4.06,Plume
One Hundred Years of Solitude,Gabriel García Márquez/Gregory Rabassa,,2/1/2006,4.07,Turtleback Books
The Bluest Eye,Toni Morrison,,4/27/2000,4.03,Plume Books
The Poisonwood Bible,Barbara Kingsolver,,10/1/1999,4.06,Harper Perennial
Vergeef me,Wally Lamb/Inge de Heer,,7/1/2001,4.18,De Boekerij
The Crusader: Ronald Reagan and the Fall of Communism,Paul Kengor,,10/17/2006,4.23,Harper
Ronald Reagan: How an Ordinary Man Became an Extraordinary Leader,Dinesh D'Souza,,2/23/1999,4.13,Free Press
Ethan Frome and Summer,Edith Wharton/Elizabeth Strout,,5/8/2001,3.86,Modern Library
Collected Stories  1891-1910,Edith Wharton/Maureen Howard,,1/29/2001,4.26,Library of America
A Backward Glance,Edith Wharton/Louis Auchincloss,,7/15/1998,3.76,Scribner
The Best Short Stories of Edith Wharton,Edith Wharton,,4/16/2004,3.77,Kessinger Publishing
Complete Works of Oscar Wilde,Oscar Wilde/Merlin Holland,,8/4/2003,4.45,HarperCollins Publishers
Oscar Wilde,Richard Ellmann,,11/5/1988,4.24,Vintage
An Ideal Husband,Oscar Wilde,,2/5/2001,4.04,Dover Publications
The Picture of Dorian Gray,Oscar Wilde/Jeffrey Eugenides,,6/1/2004,4.08,Random House: Modern Library
De Profundis and Other Writings,Oscar Wilde/Hesketh Pearson,,8/26/1976,4.21,Penguin Books
Sense and Sensuality: Jesus Talks to Oscar Wilde on the Pursuit of Pleasure (Great Conversations),Ravi Zacharias,,6/1/2006,3.95,Multnomah Books
Travels with Charley: In Search of America,John Steinbeck,,2/5/2002,4.08,Penguin
Novels and Stories 1932–1937: The Pastures of Heaven / To a God Unknown / Tortilla Flat / In Dubious Battle / Of Mice and Men,John Steinbeck/Elaine Steinbeck/Robert DeMott,,9/1/1994,4.35,Library of America
The Pearl,John Steinbeck,,1/8/2002,3.46,Penguin Books
The Life and Times of Scrooge McDuck,Don Rosa,,6/1/2005,4.67,Gemstone Publishing
The Life and Times of Scrooge McDuck Companion,Don Rosa,,9/19/2006,4.48,Gemstone Publishing
The Last Christmas of Ebenezer Scrooge,Marvin Kaye,,9/1/2004,4.13,Wildside Press
Uncle Scrooge #359,Don Rosa/Carl Barks/Lars Jensen/Pat McGreal/Carol McGreal/Frank Jonker/Romano Scarpa/Mau Heymans/José Massaroli,,11/7/2006,3.88,Gemstone Publishing
A Christmas Story,Jean Shepherd,,10/28/2003,4.08,Broadway Books
My First Story of Christmas,Tim Dowley/Roger Langton,,9/1/2004,4.07,Moody Publishers
The Christmas Story,Jane Werner Watson/Eloise Wilkin,,8/1/2000,4.43,Golden Books
A Christmas Carol,Charles Dickens/P.J. Lynch,,9/12/2006,4.05,Candlewick Press
A Christmas Carol,Charles Dickens,,1/1/2012,4.05,Penguin Books
The Annotated Christmas Carol,Charles Dickens/Michael Patrick Hearn/John Leech,,11/17/2004,4.05,W. W. Norton  Company
Charles Dickens' A Christmas Carol,Jane Parker Resnick/Christian Birmingham,,10/11/2000,4.1,Running Press Kids
Little Dorrit,Charles Dickens/Hablot Knight Browne/David Gates,,3/12/2002,3.99,Modern Library
A Christmas Carol and Other Christmas Writings,Charles Dickens/Michael Slater,,10/30/2003,4.14,Penguin Classics
The Life of Our Lord: Written for His Children During the Years 1846 to 1849,Charles Dickens,,11/9/1999,4.01,Simon  Schuster
Hard Times,Charles Dickens,,10/19/2003,3.52,Pearson Longman
The Innocent Man: Murder and Injustice in a Small Town,John Grisham,,10/10/2006,3.82,Doubleday Books
The Last Juror,John Grisham,,4/25/2006,3.87,Delta
The Testament,John Grisham/Jorma-Veikko Sappinen,,12/28/1999,3.86,Island
The Rainmaker,John Grisham,,9/27/2005,3.94,Delta
The Partner,John Grisham,,4/26/2005,3.92,Delta
The Street Lawyer,John Grisham,,4/26/2005,3.83,Bantam
The Summons,John Grisham,,9/27/2005,3.69,Delta
The Brethren,John Grisham,,12/27/2005,3.73,Delta
The King of Torts,John Grisham,,12/27/2005,3.68,Delta
Skipping Christmas,John Grisham,,11/6/2004,3.49,Arrow
The Firm,Robin Waterfield/John Grisham,,2/15/2000,4.01,Addison Wesley Publishing Company
The Client,John Grisham,,3/16/2010,4,Delta
A Painted House,John Grisham,,2/3/2004,3.7,Bantam
The Summons / The Brethren,John Grisham/Michael Beck/Frank  Muller,,10/10/2006,3.99,Random House Audio
Dragonfly in Amber (Outlander  #2),Diana Gabaldon,,8/7/2001,4.32,Bantam
Forever Amber,Kathleen Winsor,,7/25/2002,3.99,Penguin
Amber Brown Is Green With Envy,Paula Danziger/Tony Ross,,8/1/2004,3.95,Scholastic
Amber Brown Is Not a Crayon,Paula Danziger/Tony Ross,,9/7/2006,3.84,Puffin Books
Amber and Ashes (Dragonlance: The Dark Disciple  #1),Margaret Weis,,7/1/2005,3.87,Wizards of the Coast
The Waste Lands (The Dark Tower  #3),Stephen King/Ned Dameron,,11/12/1992,4.24,Time Warner Paperbacks
The Dragon's Eye (Dragonology Chronicles  #1),Dugald A. Steer/Douglas Carrel,,11/14/2006,3.82,Candlewick Press
The Dragon's Eye (Erec Rex  #1),Kaza Kingsley/Melvyn Grant,,10/1/2006,4,Firelight Press
Dragon's Eye (Stonefort  #1),James A. Hetley,,10/31/2006,3.43,Ace
Dragon's Eye,Christopher Stasheff/William R. Forstchen/Nick DiChario/S.N. Lewitt/Bill Fawcett/Mike Resnick/Mickey Zucker Reichert/S.M. Stirling/Diane Duane/Jody Lynn Nye/Roland J. Green/Teresa Patterson/Judith R. Conly,,7/1/1994,3.51,Baen Books
Stand Back  Said the Elephant  I'm Going to Sneeze!,Patricia Thomas/Wallace Tripp,,4/23/1990,4.39,William Morrow & Company  Inc.
Here I Stand: A Life of Martin Luther,Roland H. Bainton,,4/1/1995,4.08,Plume Books
The Stand: Das letzte Gefecht,Stephen King/Joachim Körber,,9/1/2003,4.34,Bastei Lübbe
'Salem's Lot,Stephen King/Jerry N. Uelsmann,,11/1/2005,4.25,Doubleday
'Salem's Lot,Stephen King/Ron McLarty,,1/19/2004,4.02,Simon & Schuster Audio
'Salem's Lot,Stephen King,,10/17/1975,4.02,Doubleday
Carrie / 'Salem's Lot / The Shining,Stephen King,,7/2/2002,4.54,Wings
'Salem's Lot,Stephen King,,11/13/1979,4.02,Signet
'Salem's Lot,Stephen King,,10/6/2010,4.02,Hodder & Stoughton Ltd
Orientalism,Edward W. Said,,8/28/2003,4.08,Penguin Classics
Interpreter of Maladies,Jhumpa Lahiri,,5/22/2000,4.15,Houghton Mifflin Harcourt
The Faiths of the Founding Fathers,David L. Holmes,,3/1/2006,3.89,Oxford University Press  USA
Girls in Pants: The Third Summer of the Sisterhood (Sisterhood  #3),Ann Brashares,,6/13/2006,3.83,Ember
Forever in Blue: The Fourth Summer of the Sisterhood (Sisterhood  #4),Ann Brashares,,1/9/2007,3.81,Delacorte Books
Junie B.  First Grader: Cheater Pants (Junie B. Jones  #21),Barbara Park/Denise Brunkus,,4/27/2004,4.04,Random House Books for Young Readers
Nineteen Eighty-Four,George Orwell/Thomas Pynchon,,5/6/2003,4.18,Plume
Animal Farm / 1984,George Orwell/Christopher Hitchens,,6/1/2003,4.28,Houghton Mifflin Harcourt
1984,George Orwell/Erich Fromm,,7/1/1981,4.18,Signet Classics
Nineteen Eighty-Four,George Orwell,,7/1/2005,4.18,1st World Library
Brave New World / Brave New World Revisited,Aldous Huxley/Christopher Hitchens,,7/5/2005,4.16,Harper Perennial Modern Classics
Brave New World and Brave New World Revisited,Aldous Huxley/Christopher Hitchens,,6/1/2004,4.16,HarperCollins
Brave New World Revisited,Aldous Huxley,,9/5/2006,3.95,Harper Perennial Modern Classics
Brave New World,Aldous Huxley,,10/17/2006,3.99,HarperCollins
Andrew Carnegie,David Nasaw,,10/24/2006,3.99,Penguin Press HC  The
The Cairo Trilogy: Palace Walk / Palace of Desire / Sugar Street (The Cairo Trilogy #1-3),Naguib Mahfouz,,10/16/2001,4.46,Everyman's Library
Children of the Alley,Naguib Mahfouz/Peter Theroux,,10/18/1996,4.1,Anchor
Akhenaten: Dweller in Truth,Naguib Mahfouz/Tagreid Abu-Hassabo,,4/4/2000,3.81,Anchor
Adrift on the Nile,Naguib Mahfouz/Frances Liardet,,1/1/1994,3.82,Anchor Books
Midaq Alley,Naguib Mahfouz/Trevor Le Gassick,,12/1/1991,3.85,Anchor Books
The Harafish,Naguib Mahfouz/Catherine Cobham/Naguib Mahfouz,,9/17/1997,4.36,Anchor Books
The Day the Leader Was Killed,Naguib Mahfouz/Surgana/Naguib Mahfouz,,6/6/2000,3.63,Anchor
Anne Frank Beyond the Diary: A Photographic Remembrance,Ruud van der Rol/Rian Verhoeven/Anna Quindlen/Anne Frank/Tony   Langham/Plym Peters,,5/1/1995,4.27,Puffin Books
Anne Frank Remembered: The Story of the Woman Who Helped to Hide the Frank Family,Miep Gies/Alison Leslie Gold,,4/15/1988,4.29,Touchstone Books
The Diary of Anne Frank,Frances Goodrich/Albert Hackett/Wendy Kesselman,,10/1/1998,4.06,Dramatists Play Service
Anne Frank: Life in Hiding,Johanna Hurwitz/Vera Rosenberry,,12/8/1999,3.99,HarperCollins
Cliffs Notes on Hansberry's A Raisin in the Sun,Rosetta James,,8/15/1992,3.9,Cliffs Notes
Dear John,Nicholas Sparks,,10/30/2006,4.03,Warner Books (NY)
All the King's Men,Robert Penn Warren,,9/1/1996,4.09,Harcourt Brace
Cliffs notes on Warren's All the King's Men,L. David Allen,,1/13/1964,3.45,Cliffs Notes
All the King's Men: Three Stage Versions,Robert Penn Warren/James A. Perkins/James A. Grimshaw,,7/4/2000,4,University of Georgia Press
Men's Health: Book of Muscle - The World's Most Complete Guide to Building Your Body,Ian King/Lou Schuler/Frederick Deluvier,,10/17/2003,3.98,Rodale Books
Surely You're Joking  Mr. Feynman!: Adventures of a Curious Character,Richard P. Feynman,,4/12/1997,4.28,W. W. Norton & Company
The Feynman Lectures on Physics  3 Vols,Richard P. Feynman/Robert B. Leighton/Matthew L. Sands,,1/1/1989,4.6,Addison Wesley Publishing Company
What Do You Care What Other People Think?,Richard P. Feynman,,1/11/2001,4.27,W.W. Norton & Company
Perfectly Reasonable Deviations from the Beaten Track: Letters of Richard P. Feynman,Richard P. Feynman/Michelle Feynman,,4/5/2005,4.25,Basic Books
QED: The Strange Theory of Light and Matter,Richard P. Feynman,,10/21/1988,4.24,Princeton University Press
Kiffe Kiffe Demain (French Edition),Faïza Guène,,10/1/2005,3.4,French & European Publications
iWoz,Steve Wozniak/Gina Smith,,9/17/2006,3.87,W. W. Norton  Company
Cradle to Cradle: Remaking the Way We Make Things,William McDonough/Michael Braungart,,4/22/2002,4.11,North Point Press
Cradle and All,James Patterson,,2/1/2001,3.86,Vision
The Creation of the American Republic  1776-1787,Gordon S. Wood,,4/6/1998,4.12,Omohundro Institute and University of North Carolina Press
Power  Faith  and Fantasy: America in the Middle East 1776 to the Present,Michael B. Oren,,1/16/2007,3.98,W. W. Norton  Company
Problems of the Self: Philosophical Papers 1956 1972,Bernard Williams,,3/25/1976,3.97,Cambridge University Press
Moral Luck: Philosophical Papers 1973-1980,Bernard Williams,,3/12/1981,4.09,Cambridge University Press
Ethics and the Limits of Philosophy,Bernard Williams,,3/15/1986,4.06,Harvard University Press
On Rhetoric and Language: Four Key Dialogues,Jean Nienkamp,,7/1/1999,4.2,Routledge
The Norton Anthology of Modern and Contemporary Poetry,Jahan Ramazani/Richard Ellmann/Robert O'Clair,,4/17/2003,4.23,W. W. Norton  Company
The Elephant War,Gillian Avery,,10/1/2000,3.67,Jane Nissen Books
The Wind in the Willows,Kenneth Grahame/Gillian Avery,,10/27/2005,3.99,Penguin Books
The Everyman Anthology of Poetry for Children,Gillian Avery/Everyman's Library/Thomas Benwick,,9/27/1994,4.14,Everyman's Library
Holiday Romance and Other Writings for Children,Charles Dickens,,5/1/1995,3.32,Everyman Paperback Classics
Ideas Have Consequences,Richard M. Weaver,,9/28/1984,4.16,University Of Chicago Press
The Ethics of Rhetoric,Richard M. Weaver,,11/3/1995,4.14,Routledge
Manliness,Harvey Mansfield,,3/11/2006,3.39,Yale University Press
Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,,12/1/2001,4.05,Penguin Books
The Brothers Karamazov,Fyodor Dostoyevsky/Richard Pevear/Larissa Volokhonsky,,1/16/1992,4.32,Vintage Classics
Selected Stories of Anton Chekhov,Anton Chekhov/Richard Pevear/Larissa Volokhonsky,,10/31/2000,4.35,Modern Library
Mother Maria Skobtsova: Essential Writings,Maria Skobtsova/Richard Pevear,,10/1/2002,4.31,Orbis Books
What is Art?,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,,8/31/1995,3.72,Penguin Classics
The Complete Short Novels,Anton Chekhov/Richard Pevear/Larissa Volokhonsky,,8/18/2005,4.47,Vintage Classics
The Double and The Gambler,Fyodor Dostoyevsky/Richard Pevear/Larissa Volokhonsky,,1/16/2007,4.16,Vintage Classics
The Adolescent,Fyodor Dostoyevsky/Richard Pevear/Larissa Volokhonsky,,12/7/2004,3.94,Vintage
If I Die in a Combat Zone,Tim O'Brien,,4/7/2003,3.95,Flamingo
If I Die In A Combat Zone,Tim O'Brien,,4/24/1995,3.95,Flamingo
Rainbow Six (John Clark  #2; Jack Ryan Universe  #10),Tom Clancy/David Dukes,,9/1/1999,4.09,Berkley Books
Child of War  Woman of Peace,Le Ly Hayslip/James Hayslip/Jenny Wurts,,12/1/1993,3.8,Anchor
When Heaven and Earth Changed Places: A Vietnamese Woman's Journey from War to Peace,Le Ly Hayslip/Jay Wurts,,11/1/1993,4.12,Plume
Philip Vera Cruz: A Personal History of Filipino Immigrants and the Farmworkers Movement,Craig Scharlin/Lilia V. Villanueva,,6/1/2000,4.22,University of Washington Press
Coming of Age in Mississippi: The Classic Autobiography of a Young Black Girl in the Rural South,Anne Moody,,2/3/2004,4.13,Delta
I'm Too Young To Be Seventy,Judith Viorst/Laura Gibson,,10/12/2005,3.93,Simon  Schuster
Seventy-Seven Clocks (Bryant & May #3),Christopher Fowler,,11/29/2005,3.89,Bantam Books
The Blank Slate: The Modern Denial of Human Nature,Steven Pinker,,8/26/2003,4.08,Penguin Books
The Language Instinct: How the Mind Creates Language,Steven Pinker,,11/7/2000,4.03,Harper Perennial Modern Classics
Learnability and Cognition: The Acquisition of Argument Structure,Steven Pinker/Jacques A. Mehler,,8/28/1991,3.75,Bradford Book
Fight Club,Chuck Palahniuk,,10/17/2005,4.19,W.W. Norton & Company (NYC)
BSD Hacks,Lavigne,,5/31/2004,3.8,O'Reilly Media
The Design and Implementation of the 4.3BSD UNIX Operating System,Samuel J. Leffler/Marshall Kirk McKusick/Michael J. Karels,,6/1/1989,4.26,Addison Wesley Publishing Company
Choke,Stuart Woods,,9/12/1996,3.84,HarperTorch
Choke Point: A Brinker Mystery (Brinker P.I.),James C. Mitchell,,10/5/2004,3.22,St. Martin's Minotaur
The Aleph and Other Stories,Jorge Luis Borges/Andrew Hurley,,7/27/2004,4.38,Penguin Classics
El Aleph,Jorge Luis Borges,,9/1/2007,4.38,Planeta Publishing
Vanity Fair,William Makepeace Thackeray/John Carey,,1/30/2003,3.79,Penguin Books
Vanity Fair,William Makepeace Thackeray/Nicholas Dames,,11/1/2003,3.79,Barnes  Noble Classics
Vanity Fair,William Makepeace Thackeray,,10/3/1998,3.79,Penguin Books
V for Vendetta,Alan Moore/David   Lloyd,,11/1/2005,4.25,Vertigo
V.,Thomas Pynchon/Carlos Martín Ramírez,,1/2/2001,3.96,Contemporary French Fiction
Girl in the Shadows (Shadows  #2),V.C. Andrews,,3/7/2006,3.81,Pocket Books
V for Vendetta,Steve Moore/Lilly Wachowski/Lana Wachowski/Alan Moore,,3/1/2006,4.15,Pocket Star Books
Heaven (Casteel  #1),V.C. Andrews,,4/1/1997,4.03,Pocket Books
Slow Learner: Early Stories,Thomas Pynchon,,2/16/1995,3.5,Vintage Classics
A Gravity's Rainbow Companion: Sources and Contexts for Pynchon's Novel,Steven Weisenburger,,11/1/2006,4.01,University of Georgia Press
Casino Royale,Ian Fleming,,6/3/2004,3.73,Penguin Books  Limited (UK)
Casino Royale,Anthony Hern/Ian Fleming/Henry Gammidge/John McLusky,,6/1/2005,3.7,Titan Books
Bel Canto,Ann Patchett,,8/2/2005,3.93,Harper Perennial
Guerilla Film Makers Movie Blueprint,Chris          Jones/Jonathan Newman/Cara Williams,,6/20/2003,4.2,Bloomsbury Academic
Mini-Manual of the Urban Guerrilla,Carlos Marighella,,9/9/2002,3.31,Abraham Guillen Press
The Career Programmer: Guerilla Tactics for an Imperfect World (Expert's Voice),Christopher   Duncan,,2/1/2006,3.13,Apress
A Bend in the River,V.S. Naipaul,,5/10/2002,3.77,Picador USA
The Middle Passage,V.S. Naipaul,,1/8/2002,3.61,Vintage
Magic Seeds,V.S. Naipaul,,11/8/2005,3.13,Vintage
Half a Life,V.S. Naipaul,,4/23/2009,3.25,Vintage International
North of South: An African Journey,Shiva Naipaul,,9/26/1996,3.89,Penguin Classics
V.S. Naipaul,Bruce Alvin King,,10/10/2003,2,Palgrave Macmillan
Regeneration Through Violence: The Mythology of the American Frontier  1600–1860,Richard Slotkin,,4/15/2000,4.3,University of Oklahoma Press
Regeneration (Species Imperative  #3),Julie E. Czerneda,,5/2/2006,4.13,DAW Hardcover
The Regeneration Trilogy (Regeneration  #1-3),Pat Barker,,1/1/1996,4.38,Viking Books
The Sparrow (The Sparrow  #1),Mary Doria Russell,,11/1/1997,4.16,Black Swan
The Age of Bronze (Pirates of the Caribbean: Jack Sparrow  #5),Rob Kidd/Walt Disney Company,,12/1/2006,4.05,Disney Press
The Sword of Cortés (Pirates of the Caribbean: Jack Sparrow  #4),Rob Kidd/Jean-Paul Orpinas/Walt Disney Company,,10/1/2006,3.98,Disney Press
The Pirate Chase (Pirates of the Caribbean: Jack Sparrow  #3),Rob Kidd/Walt Disney Company,,8/1/2006,3.89,Disney Press
The Siren Song (Pirates of the Caribbean: Jack Sparrow  #2),Rob Kidd/Jean-Paul Orpinas,,6/1/2006,3.86,Disney Press
The Coming Storm (Pirates of the Caribbean: Jack Sparrow  #1),Rob Kidd/Jean-Paul Orpinas,,6/1/2006,3.83,Disney Press
The Woman in White,Wilkie Collins/Matthew Sweet,,2/27/2003,4,Penguin Classics
The Woman in White,Wilkie Collins,,4/15/2005,4,Dover Publications
The Woman in White,Wilkie Collins/Maria K. Bachman/Don Richard Cox,,4/20/2006,4,Broadview Press Inc
The Woman in White,Wilkie Collins/Camille Cauti,,4/25/2005,4,Barnes  Noble Classics
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,,9/16/2002,4.5,Not Avail
The 9/11 Commission Report: Final Report of the National Commission on Terrorist Attacks Upon the United States,National Commission on Terrorist Attacks Upon The United States,,10/17/2004,3.6,W. W. Norton  Company
The Hobbit  or There and Back Again,J.R.R. Tolkien,,8/15/2002,4.27,Houghton Mifflin
The Annotated Hobbit,J.R.R. Tolkien/Douglas A. Anderson,,4/7/2003,4.27,HarperCollins
Poems From The Hobbit,J.R.R. Tolkien,,12/13/1999,4.3,Houghton Mifflin Harcourt
The Hobbit: Or There and Back Again,J.R.R. Tolkien,,9/1/2003,4.27,Large Print Press
The Hobbit,J.R.R. Tolkien,,9/17/2007,4.27,HarperCollins
Ruthless Rhymes for Heartless Homes and More Ruthless Rhymes,Harry Graham/Frank J. Moore/D. Streamer,,6/19/2013,3.86,Dover Publications
The Reawakening,Primo Levi/Stuart J. Woolf,,12/1/1995,4.29,Touchstone
The Essential Neruda: Selected Poems,Pablo Neruda/Mark Eisner/Lawrence Ferlinghetti/Robert Hass/Stephen Mitchell/Alastair Reid/Forrest Gander/Jack Hirschman/Stephen Kessler/John Felstiner,,4/1/2004,4.46,City Lights Publishers
Twenty Love Poems and a Song of Despair,Pablo Neruda/W.S. Merwin/Cristina García,,12/26/2006,4.3,Penguin Classics
Veinte poemas de amor y una canción desesperada; Cien sonetos de amor,Pablo Neruda,,1/22/2002,4.3,Plaza y Janes
Love,Pablo Neruda,,6/16/1995,4.46,Miramax Books
Anil's Ghost,Michael Ondaatje,,4/24/2001,3.57,Vintage
Waiting for My Cats to Die: A Memoir,Stacy Horn,,1/17/2002,3.67,St. Martin's Griffin
Narcissus and Goldmund,Hermann Hesse/Leila Vennewitz,,6/1/1993,4.2,Peter Owen Ltd
Edward Lear's Book of Nonsense: With Lear's Original Illustrations,Edward Lear/Simcha Shtull,,11/1/1995,3.65,Maxima New Media
A Sparrow Falls (Courtney #3),Wilbur Smith,,1/2/2007,4.19,St. Martin's Paperbacks
Providence of a Sparrow: Lessons from a Life Gone to the Birds,Chris Chester,,4/13/2004,4.33,Anchor
Sparrow Hawk Red,Ben Mikaelsen,,4/1/1995,3.79,Little  Brown Books for Young Readers
The Fall of a Sparrow,Robert Hellenga,,7/6/1999,3.69,Scribner
The Bluebird and the Sparrow (Women of the West  #10),Janette Oke,,8/1/2006,3.83,Bethany House Publishers
Journey of the Sparrows,Fran Leeper Buss/Daisy Cubias,,12/30/2002,3.69,Puffin Books
Aleutian Sparrow,Karen Hesse/Evon Zerbetz/Kim McGillivray,,6/1/2005,3.78,Margaret K. McElderry Books
An Episode of Sparrows,Rumer Godden,,10/31/2004,4.21,The New York Review Children's Collection
Li Po and Tu Fu: Poems,Li Bai/Du Fu/Arthur Cooper/Shui Chien-Tung,,4/26/1973,4.14,Penguin Classics
混血王子的背叛 (哈利波特  #6),J.K. Rowling/J.K.羅琳/皇冠編譯組/張定綺/彭倩文/趙丕慧/林靜華,,10/1/2005,4.57,皇冠文化出版有限公司
火盃的考驗 (哈利波特  #4),J.K. Rowling/J.K.羅琳/彭倩文,,12/8/2001,4.56,皇冠文化出版有限公司
Five T'ang Poets,Wang Wei/Li Bai/Li Ho/Li Shang-yin/David        Young,,10/8/1990,4.3,Oberlin College Press
The End of Obscenity: The Trials of Lady Chatterley  Tropic of Cancer  and Fanny Hill,Charles Rembar,,12/1/1986,3.88,HarperCollins Publishers
Juniper,Monica Furlong,,2/24/2004,4.16,Random House Children's Books
The Long Road Back: A Survivor's Guide to Anorexia,Judy Tam Sargent/Sonia Nordenson,,10/1/1998,3.2,North Star Publications (MA)
The Road Back,Erich Maria Remarque,,12/1/2001,4.32,Simon Publications
Robinson Crusoe,Daniel Defoe/L.J. Swingle,,4/1/2003,3.67,Barnes & Noble Classics
Achilles in Vietnam: Combat Trauma and the Undoing of Character,Jonathan Shay,,10/1/1995,4.25,Scribner
The Work of Mourning,Jacques Derrida/Pascale-Anne Brault/Michael Naas,,9/15/2003,4.2,University of Chicago Press
Transform Your Life: A step-by-step programme for change,Diana Cooper,,10/29/1998,4,Little  Brown Book Group
A Short History of Byzantium,John Julius Norwich,,12/29/1998,4.09,Vintage
The Middle Sea: A History of the Mediterranean,John Julius Norwich,,10/31/2006,3.85,Chatto & Windus
A History of Venice,John Julius Norwich,,6/18/1989,4.2,Vintage
The Normans in Sicily: The Normans in the South 1016-1130 and the Kingdom in the Sun 1130-1194,John Julius Norwich,,9/1/2004,4.34,Penguin Global
Siddhartha,Hermann Hesse/Susan Bernofsky/Tom Robbins,,7/18/2006,4.02,Modern Library
Siddhartha,Hermann Hesse/Joachim Neugroschel/Ralph Freedman,,12/31/2002,4.02,Penguin Books
Siddhartha,Hermann Hesse,,10/31/1975,4.02,Le Livre de Poche
The Moonstone,Wilkie Collins/Carolyn G. Heilbrun,,9/11/2001,3.91,Modern Library
The Moonstone,Wilkie Collins,,10/24/1998,3.91,Penguin Books
The Moonstone,Wilkie Collins/P.D. James,,6/10/1999,3.91,Oxford University Press  USA
Ride of the Second Horseman: The Birth and Death of War,Robert L. O'Connell,,10/19/1997,4.29,Oxford University Press  USA
Beloved,Toni Morrison,,6/8/2004,3.83,Vintage
Cry  the Beloved Country,Alan Paton,,11/25/2003,3.9,Scribner
Life of the Beloved: Spiritual Living in a Secular World,Henri J.M. Nouwen,,10/1/2002,4.28,Crossroad
Come Away My Beloved,Frances J. Roberts,,10/1/2005,4.58,Barbour Books
Israel  My Beloved,Kay Arthur,,3/15/2001,4.16,Harvest House Publishers
Beloved Bride: The Letters of Stonewall Jackson to His Wife,Bill Potter/Stephen Lang,,4/10/2003,4.1,Vision Forum
The Search for the Beloved: Journeys in Mythology and Sacred Psychology (Inner Workbook),Jean Houston,,6/30/1997,3.95,TarcherPerigee
Reservation Blues,Sherman Alexie,,2/7/2005,3.98,Grove Press
The Border Trilogy: All the Pretty Horses  The Crossing  Cities of the Plain,Cormac McCarthy,,9/28/1999,4.44,Everyman's Library
Music & Silence,Rose Tremain,,5/1/2001,3.95,Washington Square Press
The Periodic Table,Primo Levi,,1/1/2009,4.21,Penguin Group(CA)
Survival in Auschwitz,Primo Levi/Stuart J. Woolf/Philip Roth,,9/1/1995,4.32,Simon  Schuster
The Drowned and the Saved,Primo Levi,,2/1/1989,4.4,Abacus
The Monkey's Wrench,Primo Levi/William Weaver/Ruth Feldman/Ruth Tenzer Feldman,,7/1/1995,3.92,Penguin
Primo Levi: A Life,Ian Thomson,,12/1/2004,4.11,Picador
Wuthering Heights,Emily Brontë,,1/13/2007,3.85,Penguin Books
Disgrace,J.M. Coetzee,,8/30/2005,3.84,Penguin Books
Waiting for the Barbarians,J.M. Coetzee,,10/1/1999,3.94,Penguin Books
The Lives of Animals,J.M. Coetzee/Amy Gutmann/Peter Singer/Wendy Doniger/Barbara Smuts/Marjorie Garber,,5/6/2001,3.69,Princeton University Press
Boyhood: Scenes from Provincial Life,J.M. Coetzee,,9/1/1998,3.79,Penguin Books
Youth,J.M. Coetzee,,10/7/2003,3.79,Penguin Books
Age of Iron,J.M. Coetzee,,9/1/1998,3.84,Penguin Books
The Wife (Kristin Lavransdatter  #2),Sigrid Undset/Tiina Nunnally/Sherrill Harbison,,11/1/1999,4.15,Penguin Classics
Kristin Lavransdatter (Kristin Lavransdatter  #1-3),Sigrid Undset/Tiina Nunnally/Brad Leithauser,,9/27/2005,4.28,Penguin Books
The Axe (The Master of Hestviken  #1),Sigrid Undset/Arthur G. Chater,,11/29/1994,4.21,Vintage
The Cross (Kristin Lavransdatter  #3),Sigrid Undset/Tiina Nunnally/Sherrill Harbison,,4/1/2000,4.29,Penguin Classics
The Wreath (Kristin Lavransdatter  #1),Sigrid Undset/Tiina Nunnally,,12/1/1997,4.02,Penguin Classics
The Mistress of Husaby (Kristin Lavransdatter  #2),Sigrid Undset,,5/12/1987,4.15,Vintage
Jenny,Sigrid Undset/Tiina Nunnally,,6/1/1998,3.79,Steerforth
The Unknown Sigrid Undset: Jenny and Other Works,Sigrid Undset/Tim Page/Tiina Nunnally/Naomi Walford,,12/31/2001,4.19,Steerforth Press
Gunnar's Daughter,Sigrid Undset/Sherrill Harbison/Arthur G. Chater,,4/1/1998,4.18,Penguin Classics
