book_title,author,isbn,publisher,weeks_on_list,book_published,movie_released
CRYING IN H MART,Michelle Zauner,9781984898951.00,Vintage,5,,
KILLERS OF THE FLOWER MOON,David Grann,9780307742483.00,Vintage,113,,
THE ESCAPE ARTIST,Jonathan Freedland,9780063112360.00,Harper,1,,
BRAIDING SWEETGRASS,Robin Wall Kimmerer,9781571313560.00,Milkweed Editions,159,,
ALL ABOUT LOVE,bell hooks,9780060959470.00,Morrow,73,,
FINDING ME,Viola Davis,9780063037366.00,HarperOne,4,,
EDUCATED,Tara Westover,9780399590528.00,Random House,47,,
"THINKING, FAST AND SLOW",Daniel Kahneman,9780374533557.00,"Farrar, Straus & Giroux",360,,
FINDING ME,Viola Davis,9780063037342.00,HarperAudio,0,,
THE DAWN OF EVERYTHING,David Graeber and David Wengrow,9781250858801.00,Picador,4,,
THE GLASS CASTLE,Jeannette Walls,9780743247542.00,Scribner,466,2005,2017
THE GLASS CASTLE,Jeannette Walls,9780743247542.00,Scribner,466,2005,2017
TALKING TO STRANGERS,Malcolm Gladwell,9780316299220.00,Back Bay,83,,
BEING MORTAL,Atul Gawande,9781250076229.00,Metropolitan,129,,
THE ANTHROPOCENE REVIEWED,John Green,9780525555247.00,Dutton,6,,
GRIT,Angela Duckworth,9781501111112.00,Scribner,145,,
ATOMIC HABITS,James Clear,9780735211292.00,Avery,179,,
THE CREATIVE ACT,Rick Rubin with Neil Strauss,9780593652886.00,Penguin Press,15,,
Y'ALL EAT YET?,Miranda Lambert with Holly Gleason,9780063087781.00,Dey Street,1,,
COMEDY BANG! BANG! THE PODCAST,edited  Scott Aukerman,9781419754814.00,Abrams Image,1,,
SOUL BOOM,Rainn Wilson,9780306828270.00,Hachette Go,1,,
THE WISDOM OF THE BULLFROG,William H. McRaven,9781538707944.00,Grand Central,4,,
"THE BOY, THE MOLE, THE FOX AND THE HORSE",Charlie Mackesy,9780062976581.00,HarperOne,178,,
LOVE AND LEMONS SIMPLE FEEL GOOD FOOD,Jeanine Donofrio with Phoebe Moore,9780593419106.00,Avery,1,,
TASTING HISTORY,Max Miller with Ann Volkwein,9781982186180.00,Simon Element,2,,
THE SUBTLE ART OF NOT GIVING A F*CK,Mark Manson,9780062457714.00,Harper,294,,
WONDER,R.J. Palacio,9780375869020.00,Knopf,394,,
REFUGEE,Alan Gratz,9780545880831.00,Scholastic,218,,
NIC BLAKE AND THE REMARKABLES,Angie Thomas,9780063225138.00,Balzer + Bray,4,2017,2018
NIC BLAKE AND THE REMARKABLES,Angie Thomas,9780063225138.00,Balzer + Bray,4,2017,2018
ODDER,Katherine Applegate.,9781250147424.00,Feiwel & Friends,32,,
BIG TREE,Brian Selznick,9781338180633.00,Scholastic,4,2007,2011
BIG TREE,Brian Selznick,9781338180633.00,Scholastic,4,2007,2011
THE COMPLETE COOKBOOK FOR YOUNG CHEFS,America's Test Kitchen Kids,9781492670025.00,Sourcebooks Jabberwocky,151,,
TWO DEGREES,Alan Gratz,9781338735673.00,Scholastic,30,,
ONCE THERE WAS,Kiyash Monsef,9781665928502.00,Simon & Schuster,4,,
FREEWATER,Amina Luqman-Dawson,9780316056618.00,"Little, Brown",4,,
THE SWIFTS,Beth Lincoln.,9780593533239.00,Dutton,8,,
BECAUSE I HAD A TEACHER,Kobi Yamada.,9781943200085.00,Compendium,11,,
DRAGONS LOVE TACOS,Adam Rubin.,9780803736801.00,Dial,396,,
THE WONDERFUL THINGS YOU WILL BE,Emily Winfield Martin,9780385376716.00,Random House,350,,
THE DAY THE CRAYONS QUIT,Drew Daywalt.,9780399255373.00,Philomel,358,,
WOO HOO! YOU'RE DOING GREAT!,Sandra Boynton,9780316486798.00,"Little, Brown",4,,
DOLLY PARTON'S BILLY THE KID MAKES IT BIG,Dolly Parton with Erica S. Perl.,9780593661574.00,Penguin Workshop,1,,
I WISH YOU MORE,Amy Krouse Rosenthal.,9781452126999.00,Chronicle,80,,
"THANK YOU, TEACHER FROM THE VERY HUNGRY CATERPILLAR",Eric Carle,9780593226186.00,World of Eric Carle,8,,
THE BOOK WITH NO PICTURES,B.J. Novak,9780803741713.00,Dial,183,,
