,Title,Author,Book_Published,Movie_Released,Bestseller_List,
101,The Lord of the Rings: The Two Towers,J.R.R. Tolkien,1955,2002,none,
102,The Lovely Bones,Alice Sebold,2002,2009,2002,
103,The Pelican Brief,John Grisham,1992,1993,1992,
104,The Shawshank Redemption,Stephen King,1982,1994,none,
105,Stand by Me,Stephen King,1982,1986,none,
106,The Mist,Stephen King,1985,2007,none,
107,Misery,Stephen King,1987,1990,1987,
108,The Time Traveler's Wife,Audrey Niffenegger,2003,2009,2003,
109,Wuthering Heights,Emily Brontë ,1847,1939,none,
110,We Need to Talk About Kevin,Lionel Shriver,2003,2011,none,
111,Appaloosa,Robert B. Parker,2005,2008,none,
112,Atonement,Ian McEwan,2001,2007,2001,
113,Awakenings,Oliver Sacks,1973,1990,1973,
114,Ballet Shoes,Noel Streatfeild,1936,2007,none,
115,Water for Elephants,Sara Gruen,2003,2011,2006,
116,The Lincoln Lawyer,Michael Connelly,2005,2011,none,
117,Jane Eyre,Charlotte Brontë,1847,2011,none,
118,The Town,Chuck Hogan ,2004,2010,none,
119,Tamara Drewe,Posy Simmonds,2007,2010,none,
120,Shutter Island,Dennis Lehane,2003,2010,2003,
121,The Ghost Writer,Robert Harris ,2007,2010,2007,
122,Winter's Bone,Daniel Woodrel,2006,2010,2006,
123,The Blind Side,Michael Lewis ,2006,2009,2006,
124,A Single Man,Christopher Isherwood,1964,2009,none,
125,Crazy Heart,Thomas Cobb,1987,2009,none,
126,Up in the Air,Walter Kirn,2003,2009,none,
127,The Last Station,Jay Parini ,1990,2009,1990,
128,The Soloist,Steve Lopez,2008,2009,2008,
129,Like Dandelion Dust,Karen Kingsbury,2006,2009,2006,
130,Public Enemies,Bryan Burrough,2004,,2004,
131,Confessions of a Shopaholic,Sophie Kinsella ,2000,2009,2001,
132,Inkheart,Cornelia Funke ,2003,2008,2003,
133,Revolutionary Road,Ruchard Yates,1961,2008,None,
134, The Invention of Hugo Cabret,Brian Selznick,2007,2011,2007,
135,My Abandonment,Peter Rock,2009,2018,none,
136,The Orchid Thief: A True Story of Beauty and Obsession, Susan Orlean,1998,2002,none,
137,Memoirs of a Geisha,Arthur Golden,1997,2005,1997,
138,Charlotte's Web,E.B. White,1973,2006,none,
139,Gone with the Wind,Margaret Mitchell,1936,1939,1936,
141,"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,1976,1994,none,
142,The Secret Garden,Frances Hodgson Burnett,1911,1993,none,
144,"Bridget Jones's Diary (Bridget Jones, #1)",Helen Fielding,1996,2001,1996,
145,Holes,Louis Sachar,1998,2003,none,
146,Bridge to Terabithia,Katherine Paterson,1977,2007,none,
147,Anne of Green Gables,L.M. Montgomery,1908,1985,none,
148,Carrie,Stephen King,1974,1976,1974,
150,"The Devil Wears Prada (The Devil Wears Prada, #1)",Lauren Weisberger,2003,2006,2003,
151,Fahrenheit 451,Ray Bradbury,1953,1966,none,
152,The Outsiders,S.E. Hinton ,1967,1983,none,
153,A Christmas Carol,Charles Dickens,1843,1951,none,
154,The Neverending Story,Michael Ende,1979,1984,none,
155,A Little Princess,Frances Hodgson Burnett,1905,1995,none,
156,How the Grinch Stole Christmas!,Dr. Seuss,1957,2000,none,
158,"Divergent (Divergent, #1)",Veronica Roth ,2011,2014,2011,
159,The Stand,Stephen King,1978,1994,none,
160,The Count of Monte Cristo,Alexandre Dumas,1844,2002,none,
161,"Jaws (Jaws, #1)",Peter Benchley,1974,1975,1974,
162,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,1979,2005,none,
163,The Fault in Our Stars,John Green,2012,2014,2012,
164,Paper Towns,John Green,2008,2015,2008,
165,Let it Snow,John Green,2008,2019,2008,
166,Of Mice and Men,John Steinbeck,1937,1992,none,
167,The Kite Runner,Khaled Hosseini ,2003,2007,2004,
168,The Perks of Being a Wallflower,Stephen Chbosky,1999,2012,2012,
169,Gone Girl,Gillian Flynn,2012,2014,2012,
170,The Pelican Brief,John Grisham ,1992,1993,1992,
