book_title,movie_title,movie_released,year,movie_genre,star_rating,weeks_on_list,gross_amount
SILVER IN THE BONE,,,,,,4,
THE FIRST TO DIE AT THE END,,,,,,30,
LIGHTLARK,,,,,,36,
SPELL BOUND,,,,,,4,
THE STOLEN HEIR,,,,,,17,
SHE IS A HAUNTING,,,,,,9,
THE LITTLE MERMAID: AGAINST THE TIDE,,,,,,3,
LOVELESS,,,,,,34,
THE LAST THING HE TOLD ME,,,,,,0,
LESSONS IN CHEMISTRY,,,,,,0,
REMARKABLY BRIGHT CREATURES,,,,,,0,
HELLO BEAUTIFUL,,,,,,0,
SIMPLY LIES,,,,,,0,
THE SEVEN HUSBANDS OF EVELYN HUGO,,,,,,0,
HAPPY PLACE,,,,,,0,
DEMON COPPERHEAD,,,,,,0,
IT ENDS WITH US,,,,,,0,
DAISY JONES & THE SIX,,,,,,0,
VERITY,,,,,,0,
I WILL FIND YOU,,,,,,0,
IT STARTS WITH US,,,,,,0,
DARK ANGEL,,,,,,0,
MAD HONEY,,,,,,0,
OUTLIVE,,,,,,0,
GREENLIGHTS,,,,,,0,
SPARE,,,,,,0,
I'M GLAD MY MOM DIED,,,,,,0,
THE LIGHT WE CARRY,,,,,,0,
THE WAGER,,,,,,0,
THE BODY KEEPS THE SCORE,,,,,,0,
YOU CAN'T JOKE ABOUT THAT,,,,,,0,
EXTREME OWNERSHIP,,,,,,0,
ALL MY KNOTTED-UP LIFE,,,,,,0,
KILLERS OF THE FLOWER MOON,,,,,,0,
PARIS,,,,,,0,
WHAT HAPPENED TO YOU?,,,,,,0,
"FRIENDS, LOVERS, AND THE BIG TERRIBLE THING",,,,,,0,
ATOMIC HABITS,,,,,,0,
THE WISDOM OF THE BULLFROG,,,,,,0,
THE CREATIVE ACT,,,,,,0,
"POVERTY, BY AMERICA",,,,,,0,
DARE TO LEAD,,,,,,0,
"I WILL TEACH YOU TO BE RICH, SECOND EDITION",,,,,,0,
"THINKING, FAST AND SLOW",,,,,,0,
EXTREME OWNERSHIP,,,,,,0,
PARIS,,,,,,0,
GRIT,,,,,,0,
TWENTY THOUSAND FLEAS UNDER THE SEA,,,,,,0,
COLLABORATIONS,,,,,,0,
MOTHERING HEIGHTS,,,,,,0,
MOON RISING,,,,,,0,
GRIME AND PUNISHMENT,,,,,,0,
SCHOOL TRIP,,,,,,0,
"ONE PIECE, VOL. 102",,,,,,0,
"KAIJU NO. 8, VOL. 6",,,,,,0,
FOR WHOM THE BALL ROLLS,,,,,,0,
MARY ANNE'S BAD LUCK MYSTERY,,,,,,0,
TEENAGE MUTANT NINJA TURTLES: THE LAST RONIN,,,,,,0,
FETCH-22,,,,,,0,
"SPY X FAMILY, VOL. 9",,,,,,0,
LORD OF THE FLEAS,,,,,,0,
SPY CAMP,,,,,,0,
THE RUSSIAN,,,,,,0,
SUSPECTS,,,,,,0,
TWO ALONE,,,,,,0,
LEGACY,,,,,,0,
DEATH OF THE BLACK WIDOW,,,,,,0,
MERCY,,,,,,0,
THE JENSENS OF COLORADO,,,,,,0,
TOM CLANCY: ZERO HOUR,,,,,,0,
SAVE IT FOR SUNDAY,,,,,,0,
THE LAST HOUSE GUEST,,,,,,0,
ONE NIGHT,,,,,,0,
GETTING EVEN,,,,,,0,
SOMEDAY WITH YOU,,,,,,0,
READY FOR MARRIAGE,,,,,,0,
THE JUDGE'S LIST,,,,,,0,
THE ONE AND ONLY IVAN,,,,,,0,
THE WILD ROBOT,,,,,,0,
WISH,,,,,,0,
A LONG WALK TO WATER,,,,,,0,
RESTART,,,,,,0,
THE ONE AND ONLY BOB,,,,,,0,
FISH IN A TREE,,,,,,0,
A WOLF CALLED WANDER,,,,,,0,
OUT OF MY MIND,,,,,,0,
WHEN YOU TRAP A TIGER,,,,,,0,
IF HE HAD BEEN WITH ME,,,,,,0,
GIRL IN PIECES,,,,,,0,
BETTER THAN THE MOVIES,,,,,,0,
THE WAY I USED TO BE,,,,,,0,
ONE OF US IS LYING,,,,,,0,
THE ISLAND,,,,,,0,
THEY BOTH DIE AT THE END,,,,,,0,
SIX OF CROWS,,,,,,0,
THE BOOK THIEF,,,,,,0,
ONCE UPON A BROKEN HEART,,,,,,0,
